【Unit Original】

Count: 107

---- Title | Artist | Lyricist | Composer | Arranger | Released | Event | Category | Jacket | Preview Audio | Vocal Version ----
Samsa | teniwoha | teniwoha | teniwoha | teniwoha | 2024-03-29 | Immiscible Discord |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_300/jacket_s_300.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0300_01/vs_0300_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
I am you | rerulili | rerulili | rerulili | tepe | 2023-11-20 | Hope Will Someday Go Beyond the Morning |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_304/jacket_s_304.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0304_01/vs_0304_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
The peachy key | Iyowa | Iyowa | Iyowa | Iyowa | 2024-04-29 | Friendship Rebuilt |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_308/jacket_s_308.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0308_01/vs_0308_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Flyway | halyosy | halyosy | halyosy | halyosy | 2024-01-21 | Little Bravers! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_310/jacket_s_310.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0310_01/vs_0310_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
One Sheep | Peg | Peg | Peg | Peg | 2024-02-19 | Kick It Up a Notch |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_316/jacket_s_316.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0316_01/vs_0316_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
Coral | koyori | koyori | koyori | koyori | 2024-05-30 | The Song of a Canary in Crisis |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_324/jacket_s_324.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0324_01/vs_0324_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Mr. Showtime | Hitoshizuku×Yama△ | Hitoshizuku×Yama△ | Hitoshizuku×Yama△ | Hitoshizuku×Yama△ | 2024-03-11 | The Phoenix in the Distant Sky |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_333/jacket_s_333.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0333_01/vs_0333_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
Engeki | Nanou | Nanou | Nanou | Nanou | 2024-07-20 | Farewell, My Mask |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_345/jacket_s_345.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0345_01/vs_0345_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
Aioi | yairi | yairi | yairi | yairi | 2024-04-11 | Get Over It |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_351/jacket_s_351.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0351_01/vs_0351_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
kitty | tsumiki | tsumiki | tsumiki | tsumiki | 2024-04-30 | We Escape to Survive |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_353/jacket_s_353.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0353_01/vs_0353_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
